iter	Logloss
0	0.6835104872
1	0.6742907415
2	0.6643924556
3	0.656248236
4	0.6471876583
5	0.6407712678
6	0.633066332
7	0.6274638156
8	0.6205112746
9	0.6141537595
10	0.6093169926
11	0.6042536339
12	0.5984125294
13	0.5935020391
14	0.5896796836
15	0.5848360163
16	0.5813914204
17	0.5765423801
18	0.5725982497
19	0.5687867027
20	0.5647285772
21	0.5612071014
22	0.5579331821
23	0.5555897785
24	0.5531355381
25	0.5508485714
26	0.5487946542
27	0.5467726763
28	0.54371727
29	0.5409677964
30	0.5391763151
31	0.5367740538
32	0.5351493149
33	0.533609606
34	0.5315186063
35	0.5298152051
36	0.5280809909
37	0.526008517
38	0.5239992318
39	0.5228372182
40	0.5212801845
41	0.5197837691
42	0.5188743619
43	0.517885196
44	0.5164469386
45	0.5149925033
46	0.5136740663
47	0.5126367735
48	0.511479085
49	0.5104594724
50	0.5092735443
51	0.5081106041
52	0.5069156622
53	0.5063094597
54	0.5056192913
55	0.5049997062
56	0.5044542813
57	0.5036881825
58	0.5031812286
59	0.5024428451
60	0.5019612687
61	0.5011234954
62	0.5006901871
63	0.5002176899
64	0.4998008671
65	0.4993584746
66	0.4988313512
67	0.4984378535
68	0.4978047176
69	0.4974516853
70	0.4971572797
71	0.4967522721
72	0.4963443471
73	0.4960001414
74	0.4953144906
75	0.4949884801
76	0.4946040883
77	0.4942512696
78	0.4937888314
79	0.4935166483
80	0.4932160511
81	0.4928802084
82	0.4922634112
83	0.4919024039
84	0.4916136702
85	0.4912321822
86	0.4908431408
87	0.490435336
88	0.4901062813
89	0.48972303
90	0.4894721767
91	0.4891598826
92	0.4888803177
93	0.4886904967
94	0.4884998664
95	0.4881681866
96	0.4880205256
97	0.4877197263
98	0.4874920927
99	0.4870063779
100	0.4867261755
101	0.4864996162
102	0.4862314937
103	0.4857747472
104	0.4855380699
105	0.4853552358
106	0.4851736184
107	0.4849347017
108	0.4845077193
109	0.4843013633
110	0.4842202548
111	0.4838954044
112	0.4837245145
113	0.4835254142
114	0.4832388839
115	0.4831561435
116	0.4829971966
117	0.4828183087
118	0.4825542375
119	0.4823950606
120	0.4821857116
121	0.4818939932
122	0.4817313384
123	0.4816116284
124	0.4815479665
125	0.4814264448
126	0.4812006625
127	0.4811110382
128	0.481021776
129	0.4807830709
130	0.4806860753
131	0.4804747482
132	0.4803997682
133	0.4803008792
134	0.4801549916
135	0.480057863
136	0.4799297117
137	0.4797702649
138	0.479611342
139	0.4793958687
140	0.479214889
141	0.4791072127
142	0.4789322916
143	0.4788085383
144	0.4786930155
145	0.4785415911
146	0.4784052282
147	0.4782340028
148	0.4781042823
149	0.4780063713
150	0.4777971305
151	0.4775827134
152	0.4775235824
153	0.4773818016
154	0.4772469553
155	0.4771842032
156	0.4770504206
157	0.476944289
158	0.4768366907
159	0.47673431
160	0.4766478464
161	0.4764705287
162	0.4763676051
163	0.4762677334
164	0.4761679254
165	0.4760164774
166	0.4759092641
167	0.4757758993
168	0.4756502676
169	0.475580596
170	0.4754206608
171	0.4753062214
172	0.4751790701
173	0.4750907398
174	0.4749680823
175	0.4748381503
176	0.4747420615
177	0.4746671422
178	0.4745945395
179	0.4744568654
180	0.4743843899
181	0.4742838677
182	0.4741443108
183	0.4740733377
184	0.4739771853
185	0.4738728183
186	0.4737876559
187	0.4736504017
188	0.4735180027
189	0.4734582453
190	0.4733316287
191	0.4731212642
192	0.4729974172
193	0.472894925
194	0.4728324671
195	0.4727373585
196	0.4726935229
197	0.4725531749
198	0.4724769081
199	0.4724159797
200	0.4722876697
201	0.4721431095
202	0.4720534785
203	0.4719806841
204	0.4718629422
205	0.4717728475
206	0.4716340988
207	0.4715268487
208	0.4714638981
209	0.4713728453
210	0.4713085579
211	0.4712050531
212	0.4709027947
213	0.4708030155
214	0.4707150195
215	0.470610058
216	0.4704305875
217	0.4703471841
218	0.4702783629
219	0.4701870017
220	0.4701240509
221	0.4700127002
222	0.4698954123
223	0.4697788747
224	0.4696849049
225	0.4695978376
226	0.4695106523
227	0.469410909
228	0.4693272156
229	0.4692453844
230	0.4690814716
231	0.468959878
232	0.4688593191
233	0.4687531192
234	0.4687054994
235	0.4686264059
236	0.4685845917
237	0.4684875896
238	0.4683436195
239	0.4682754191
240	0.4681944651
241	0.4680505772
242	0.4678465554
243	0.4677648224
244	0.4676816802
245	0.467582595
246	0.46749577
247	0.4673776422
248	0.4672847812
249	0.4671951537
250	0.4671092409
251	0.4670706558
252	0.466941884
253	0.4668579343
254	0.4667258993
255	0.4666596205
256	0.4665758609
257	0.4664592224
258	0.466384986
259	0.4662881789
260	0.4661728822
261	0.4660899049
262	0.4660466562
263	0.465962895
264	0.4658602907
265	0.4658049728
266	0.4657172664
267	0.4656341307
268	0.4655454154
269	0.4654486432
270	0.4653673626
271	0.4652951808
272	0.4652184965
273	0.4651526767
274	0.4650899889
275	0.4649804674
276	0.4648484987
277	0.464795105
278	0.4647142498
279	0.4646493742
280	0.4645398424
281	0.4644618233
282	0.4642779002
283	0.4642045112
284	0.4641175859
285	0.464030335
286	0.4639593614
287	0.4638680981
288	0.4636607095
289	0.4636150151
290	0.463552459
291	0.4634497483
292	0.4633552274
293	0.463251249
294	0.4631705172
295	0.4630205796
296	0.4629206428
297	0.4627817502
298	0.4627039927
299	0.4626249328
300	0.4625545509
301	0.4624949615
302	0.4624044752
303	0.4622967323
304	0.4621968305
305	0.4621417084
306	0.4620573594
307	0.4619749321
308	0.4618779617
309	0.4618132166
310	0.4616681332
311	0.4615878637
312	0.4613924124
313	0.4613241193
314	0.4612930032
315	0.4612619518
316	0.4610788858
317	0.461009217
318	0.4608952439
319	0.4608398602
320	0.4607605091
321	0.4606908728
322	0.46062476
323	0.4604815616
324	0.4603942802
325	0.4603070585
326	0.4602271173
327	0.4601562409
328	0.4600600874
329	0.4599399994
330	0.4598418234
331	0.4597594339
332	0.4596191204
333	0.4595683683
334	0.4593761167
335	0.4593150572
336	0.4591813964
337	0.4591325379
338	0.4590459697
339	0.4589248851
340	0.4588572638
341	0.4586666379
342	0.4586007234
343	0.458526194
344	0.4584233573
345	0.4583249167
346	0.4582829055
347	0.4581644633
348	0.4580241109
349	0.4579594017
350	0.4578712776
351	0.4577545082
352	0.4575347348
353	0.4574615428
354	0.4574077569
355	0.4573287539
356	0.4572551709
357	0.4571099871
358	0.4570156533
359	0.4568722079
360	0.4566633874
361	0.4565092356
362	0.4564051612
363	0.4562875956
364	0.4561931714
365	0.4560386634
366	0.4559063594
367	0.4557952317
368	0.4554751534
369	0.455334612
370	0.4552166738
371	0.4551282462
372	0.4549957836
373	0.4548923549
374	0.4547898781
