iter	Passed	Remaining
0	327	326731
1	462	230570
2	596	198292
3	726	180859
4	850	169238
5	988	163716
6	1116	158374
7	1241	153927
8	1380	151981
9	1529	151459
10	1692	152135
11	1800	148278
12	1902	144418
13	2004	141144
14	2105	138271
15	2207	135787
16	2306	133396
17	2408	131380
18	2515	129887
19	2614	128117
20	2712	126476
21	2812	125037
22	2914	123782
23	3015	122628
24	3120	121702
25	3219	120616
26	3323	119770
27	3423	118845
28	3525	118039
29	3623	117160
30	3736	116804
31	3933	118989
32	4112	120496
33	4295	122028
34	4426	122047
35	4623	123805
36	4729	123092
37	4832	122333
38	4939	121705
39	5044	121063
40	5152	120517
41	5253	119841
42	5357	119240
43	5464	118733
44	5569	118195
45	5666	117525
46	5820	118009
47	6028	119563
48	6142	119213
49	6243	118625
50	6348	118136
51	6449	117588
52	6553	117098
53	6655	116596
54	6756	116094
55	6864	115723
56	6968	115290
57	7072	114873
58	7172	114393
59	7274	113961
60	7375	113537
61	7477	113129
62	7578	112708
63	7670	112187
64	7770	111774
65	7875	111443
66	7973	111040
67	8073	110657
68	8180	110383
69	8288	110118
70	8391	109802
71	8492	109458
72	8600	109211
73	8702	108902
74	8799	108527
75	8908	108304
76	9007	107975
77	9105	107628
78	9210	107376
79	9329	107284
80	9435	107050
81	9536	106761
82	9642	106535
83	9735	106168
84	9832	105843
85	9936	105601
86	10041	105376
87	10145	105143
88	10250	104924
89	10350	104654
90	10462	104509
91	10563	104260
92	10665	104014
93	10767	103781
94	10871	103563
95	10972	103323
96	11072	103073
97	11176	102873
98	11278	102645
99	11385	102467
100	11496	102331
101	11599	102121
102	11709	101977
103	11821	101849
104	11931	101700
105	12029	101456
106	12135	101281
107	12240	101097
108	12341	100881
109	12441	100659
110	12540	100433
111	12641	100226
112	12743	100028
113	12842	99812
114	12945	99624
115	13044	99408
116	13146	99217
117	13249	99031
118	13347	98813
119	13449	98628
120	13634	99050
121	13756	99002
122	13856	98800
123	13956	98597
124	14057	98399
125	14160	98225
126	14264	98051
127	14368	97882
128	14464	97662
129	14561	97453
130	14659	97247
131	14759	97053
132	14859	96868
133	14962	96697
134	15064	96523
135	15163	96331
136	15263	96146
137	15364	95970
138	15468	95813
139	15574	95670
140	15672	95479
141	15773	95304
142	15880	95172
143	15985	95025
144	16088	94867
145	16196	94735
146	16308	94632
147	16411	94475
148	16515	94325
149	16649	94349
150	16760	94233
151	16854	94032
152	16964	93916
153	17066	93754
154	17168	93594
155	17266	93413
156	17368	93260
157	17472	93114
158	17578	92976
159	17687	92859
160	17791	92712
161	17897	92581
162	18003	92445
163	18118	92359
164	18219	92199
165	18324	92062
166	18429	91928
167	18531	91776
168	18630	91610
169	18735	91472
170	18839	91331
171	18939	91175
172	19043	91036
173	19150	90911
174	19249	90747
175	19359	90638
176	19462	90492
177	19561	90334
178	19663	90186
179	19766	90049
180	19867	89898
181	19975	89779
182	20088	89683
183	20196	89565
184	20297	89420
185	20396	89261
186	20503	89143
187	20600	88977
188	20699	88820
189	20812	88728
190	20915	88589
191	21016	88446
192	21117	88298
193	21215	88140
194	21319	88010
195	21428	87900
196	21536	87783
197	21637	87644
198	21740	87510
199	21841	87364
200	21938	87208
201	22038	87062
202	22136	86908
203	22234	86759
204	22333	86610
205	22432	86461
206	22528	86305
207	22626	86155
208	22725	86007
209	22825	85865
210	22921	85710
211	23019	85562
212	23122	85433
213	23233	85333
214	23331	85186
215	23433	85053
216	23533	84914
217	23637	84790
218	23739	84658
219	23838	84519
220	23937	84376
221	24034	84230
222	24133	84087
223	24235	83957
224	24342	83847
225	24459	83767
226	24576	83690
227	24691	83604
228	24791	83467
229	24893	83338
230	24991	83198
231	25093	83066
232	25193	82933
233	25292	82796
234	25392	82660
235	25495	82536
236	25596	82406
237	25706	82303
238	25825	82230
239	25954	82188
240	26059	82070
241	26161	81945
242	26261	81809
243	26360	81675
244	26463	81551
245	26565	81425
246	26669	81303
247	26775	81190
248	26877	81064
249	26981	80943
250	27088	80832
251	27193	80716
252	27300	80607
253	27409	80503
254	27516	80390
255	27618	80267
256	27718	80135
257	27815	79997
258	27920	79879
259	28041	79809
260	28158	79728
261	28263	79612
262	28373	79509
263	28477	79390
264	28580	79271
265	28687	79159
266	28787	79031
267	28895	78924
268	29000	78809
269	29102	78683
270	29210	78576
271	29314	78458
272	29420	78347
273	29524	78230
274	29631	78119
275	29738	78009
276	29843	77894
277	29947	77778
278	30048	77651
279	30152	77534
280	30255	77414
281	30356	77290
282	30463	77182
283	30573	77080
284	30690	76995
285	30790	76869
286	30891	76743
287	30993	76623
288	31101	76516
289	31302	76637
290	31493	76732
291	31602	76624
292	31700	76493
293	31805	76376
294	31905	76248
295	32007	76126
296	32110	76005
297	32215	75889
298	32314	75760
299	32418	75642
300	32518	75515
301	32618	75390
302	32732	75295
303	32836	75178
304	32936	75051
305	33052	74961
306	33163	74859
307	33265	74739
308	33370	74625
309	33478	74515
310	33574	74381
311	33669	74244
312	33768	74118
313	33870	73998
314	33970	73871
315	34075	73758
316	34178	73640
317	34277	73513
318	34381	73398
319	34481	73274
320	34583	73152
321	34684	73030
322	34786	72910
323	34886	72788
324	34984	72660
325	35087	72542
326	35190	72424
327	35294	72311
328	35398	72196
329	35505	72086
330	35607	71968
331	35709	71850
332	35811	71731
333	35909	71604
334	36017	71497
335	36121	71383
336	36223	71265
337	36327	71150
338	36432	71038
339	36531	70913
340	36723	70970
341	36849	70898
342	36947	70771
343	37046	70647
344	37144	70520
345	37243	70397
346	37346	70279
347	37450	70165
348	37548	70040
349	37645	69912
350	37743	69788
351	37846	69672
352	37948	69554
353	38055	69445
354	38162	69337
355	38264	69219
356	38365	69101
357	38472	68992
358	38576	68879
359	38672	68750
360	38778	68641
361	38879	68522
362	38983	68409
363	39089	68298
364	39190	68180
365	39300	68077
366	39402	67961
367	39507	67849
368	39603	67722
369	39701	67599
370	39802	67482
371	39902	67361
372	40003	67244
373	40105	67127
374	40203	67005
375	40301	66882
376	40400	66762
377	40496	66637
378	40603	66529
379	40793	66558
380	40921	66484
381	41026	66372
382	41129	66258
383	41234	66147
384	41344	66043
385	41467	65961
386	41598	65891
387	41698	65771
388	41797	65651
389	41897	65532
390	41999	65416
391	42102	65301
392	42204	65186
393	42306	65070
394	42409	64956
395	42509	64837
396	42606	64715
397	42707	64597
398	42807	64479
399	42911	64366
400	43012	64250
401	43116	64138
402	43217	64021
403	43318	63905
404	43419	63789
405	43522	63676
406	43625	63562
407	43730	63451
408	43831	63336
409	43931	63218
410	44031	63101
411	44131	62984
412	44230	62865
413	44331	62749
414	44433	62635
415	44535	62521
416	44635	62404
417	44739	62292
418	44841	62178
419	44940	62060
420	45040	61944
421	45142	61829
422	45239	61709
423	45334	61587
424	45432	61467
425	45528	61345
426	45636	61240
427	45740	61130
428	45849	61025
429	45951	60912
430	46049	60793
431	46152	60681
432	46255	60570
433	46356	60455
434	46460	60345
435	46556	60225
436	46654	60106
437	46765	60005
438	46874	59900
439	46972	59783
440	47076	59673
441	47177	59558
442	47279	59446
443	47383	59335
444	47481	59217
445	47582	59105
446	47686	58994
447	47786	58879
448	47891	58770
449	47997	58664
450	48102	58555
451	48207	58446
452	48312	58337
453	48414	58225
454	48511	58106
455	48616	57998
456	48713	57880
457	48815	57768
458	48914	57653
459	49014	57538
460	49112	57422
461	49212	57308
462	49324	57207
463	49433	57104
464	49543	57001
465	49653	56899
466	49750	56781
467	49854	56671
468	49959	56564
469	50058	56449
470	50157	56334
471	50263	56226
472	50434	56192
473	50551	56097
474	50650	55981
475	50757	55875
476	50859	55764
477	50962	55653
478	51061	55538
479	51161	55424
480	51266	55317
481	51369	55206
482	51467	55090
483	51652	55067
484	51777	54980
485	51877	54865
486	51975	54750
487	52078	54640
488	52182	54530
489	52286	54420
490	52386	54307
491	52486	54193
492	52586	54080
493	52684	53964
494	52784	53850
495	52887	53740
496	52992	53632
497	53097	53523
498	53202	53415
499	53301	53301
500	53400	53187
501	53501	53075
502	53598	52959
503	53699	52846
504	53800	52735
505	53902	52623
506	54005	52514
507	54105	52401
508	54203	52287
509	54314	52184
510	54410	52067
511	54512	51957
512	54613	51845
513	54716	51735
514	54818	51625
515	54920	51515
516	55034	51415
517	55150	51317
518	55253	51207
519	55349	51092
520	55442	50973
521	55536	50855
522	55723	50822
523	55824	50710
524	55925	50599
525	56026	50487
526	56126	50375
527	56229	50266
528	56331	50155
529	56425	50037
530	56521	49921
531	56619	49808
532	56719	49695
533	56819	49584
534	56922	49474
535	57038	49376
536	57154	49278
537	57259	49170
538	57363	49062
